"Front","Back"
"What is language investigation?","An independent research project analysing real language data."
"What is the aim of an investigation?","To explore a language question using data and linguistic analysis."
"What is a research question?","A focused question guiding the investigation."
"What is a hypothesis?","A prediction about what the research may find."
"What is methodology?","The methods used to collect and analyse language data."
"What is primary data?","Data collected directly by the researcher."
"What is secondary data?","Data taken from existing sources."
"What is a corpus?","A collection of written or spoken language used for research."
"What is a linguistic variable?","A language feature that changes depending on context or speaker."
"What is sampling in research?","Selecting part of a dataset to analyse."
"What is quantitative analysis?","Analysis based on numbers, counts or frequency."
"What is qualitative analysis?","Analysis focusing on meanings and patterns in language."
"What is reliability in research?","Whether research findings are consistent and repeatable."
"What is validity in research?","Whether the research measures what it aims to measure."
"What are ethical considerations?","Ensuring participants are treated fairly and data is used responsibly."
"What is informed consent?","Participants agreeing to take part in research with full understanding."
"What is anonymisation?","Removing identifying information from data."
"What is transcription?","Writing down spoken language in written form."
"What is discourse analysis?","Studying language beyond the level of individual sentences."
"What is multimodal analysis?","Analysing communication that uses more than one mode such as text image or sound."
"What is register?","The level of formality used in language."
"What is audience?","The intended receiver of the communication."
"What is purpose?","The reason the language text was created."
"What is context?","The situation in which language is used."
"What is genre?","A category of text with shared features."
"What is lexis?","The vocabulary used in a text."
"What is semantics?","The study of meaning in language."
"What is syntax?","The arrangement of words to form sentences."
"What is morphology?","The structure and formation of words."
"What is phonology?","The sound patterns of spoken language."
"What is graphology?","The visual features of written language such as punctuation and layout."
"What is cohesion?","The grammatical and lexical links that connect ideas in a text."
"What is coherence?","The logical flow and clarity of a text."
"What is foregrounding?","Making certain language features stand out."
"What is deixis?","Words whose meaning depends on context such as here now or this."
"What is modality?","Language expressing certainty possibility or obligation."
"What is hedging?","Language used to soften or reduce certainty."
"What is discourse marker?","A word or phrase used to organise speech such as well or so."
"What is a conclusion in research?","A summary explaining what the investigation found."
"What is evaluation in research?","Reflecting on strengths and weaknesses of the investigation."
"What is triangulation?","Using multiple methods or sources to strengthen findings."
"What is a case study?","Detailed analysis of a specific example."
"What is language data?","Real examples of language used in communication."
"What is analysis?","Breaking language down to examine patterns and meanings."
"What is interpretation?","Explaining what language patterns reveal."
"What is linguistic terminology?","Specialist terms used to analyse language."
"What is pattern identification?","Finding recurring features in language data."
"What is language variation?","Differences in language use across contexts or groups."
"What is language change?","How language evolves over time."
"What is reporting findings?","Presenting research results clearly and logically."
"What is reflection in research?","Considering improvements or limitations of the study."
