"Front","Back"
"What does language variation refer to?","Differences in the way language is used depending on context, region, social group or situation."
"What is accent?","The way words are pronounced depending on geographical or social background."
"What is dialect?","A variety of language including pronunciation, vocabulary and grammar linked to a region or social group."
"What is sociolect?","A language variety associated with a particular social class or group."
"What is idiolect?","An individual's unique way of using language shaped by personal experiences."
"What is register?","The level of formality used in language depending on context and audience."
"What is field in language analysis?","The subject matter or topic being discussed."
"What is tenor in language analysis?","The relationship between participants in communication."
"What is mode in language analysis?","The method of communication such as spoken, written or digital."
"What is discourse?","Language used in communication beyond individual sentences."
"What is pragmatics?","The study of how meaning is shaped by context."
"What is deixis?","Words whose meaning depends on context such as here, now, this and that."
"What is a discourse marker?","A word or phrase used to organise speech such as well, so or anyway."
"What is turn-taking?","The way speakers alternate when speaking in conversation."
"What is adjacency pair?","Two related utterances spoken by different people such as question and answer."
"What is interruption?","When one speaker cuts off another before they have finished speaking."
"What is overlap in conversation?","When two speakers talk at the same time."
"What is backchannelling?","Listener responses that show attention such as 'yeah', 'mm', or 'okay'."
"What is hedging?","Language used to appear less certain or soften statements."
"What is modality?","Language used to express possibility, probability or obligation."
"What is lexical choice?","The selection of vocabulary used by a speaker or writer."
"What is semantic field?","A group of words related in meaning."
"What is cohesion?","The grammatical and lexical links that connect ideas in a text."
"What is coherence?","How logical and understandable a text is as a whole."
"What is foregrounding?","Making a language feature stand out for emphasis."
"What is graphology?","The visual aspects of written language such as punctuation, layout and fonts."
"What is phonology?","The study of sound patterns in language."
"What is morphology?","The study of word formation and structure."
"What is syntax?","The arrangement of words and phrases to create sentences."
"What is lexis?","The vocabulary used in a language."
"What is semantics?","The study of meaning in language."
"What is standard English?","The widely accepted variety of English used in formal writing and education."
"What is non-standard English?","Language forms that differ from standard grammar or pronunciation."
"What is prestige in language?","The status associated with certain language varieties."
"What is overt prestige?","Status gained by using socially valued language forms."
"What is covert prestige?","Status gained within a social group by using non-standard language."
"What is accommodation theory?","The idea that speakers adjust their language to be more like or less like others."
"Who developed accommodation theory?","Howard Giles."
"What is convergence in accommodation theory?","Adjusting language to become more similar to another speaker."
"What is divergence in accommodation theory?","Adjusting language to emphasise differences between speakers."
"What is politeness theory?","The idea that speakers manage social relationships through language choices."
"Who developed politeness theory?","Brown and Levinson."
"What is face in politeness theory?","A person's public self-image in communication."
"What is positive face?","A desire to be liked and approved of by others."
"What is negative face?","A desire to have freedom of action without imposition."
"What is a face threatening act?","Language that challenges or threatens someone's social image."
"What is mitigation?","Softening language to reduce potential offence."
"What is hypercorrection?","Overusing prestigious language forms in an attempt to sound more formal."
"What is language prestige associated with?","Social class, education and power."
"What is context in language analysis?","The situation in which communication takes place."
"What is audience?","The intended receiver of the communication."
