"Front","Back"
"What is creative language production?","Producing original writing using deliberate language choices."
"What is stylistic imitation?","Writing that imitates the style or features of a particular genre."
"What is genre?","A category of text with shared features and conventions."
"What is audience?","The intended reader or listener of a text."
"What is purpose?","The reason a text is created."
"What is register?","The level of formality used in language depending on context."
"What is tone?","The writer's attitude or emotional quality in a text."
"What is narrative voice?","The perspective from which a story or text is told."
"What is cohesion?","The grammatical and lexical links that connect ideas in a text."
"What is coherence?","The logical flow and clarity of a text."
"What is foregrounding?","Making certain language features stand out for emphasis."
"What is lexical choice?","The selection of vocabulary used in a text."
"What is semantic field?","A group of words related in meaning."
"What is metaphor?","A comparison where something is described as something else."
"What is simile?","A comparison using like or as."
"What is imagery?","Language that creates vivid sensory descriptions."
"What is rhetorical language?","Language used to persuade or influence an audience."
"What is emotive language?","Language designed to evoke strong feelings."
"What is direct address?","Speaking directly to the audience using words like 'you'."
"What is inclusive language?","Language that involves the audience such as 'we' or 'us'."
"What is repetition?","Repeating words or structures for emphasis."
"What is parallelism?","Using similar grammatical structures to create rhythm or emphasis."
"What is tripling?","Using three related words or phrases for persuasive effect."
"What is the rule of three?","A persuasive technique where ideas are presented in groups of three."
"What is a rhetorical question?","A question asked for effect rather than an answer."
"What is contrast?","Highlighting differences between ideas."
"What is anecdote?","A short personal story used to illustrate a point."
"What is modality?","Language expressing possibility certainty or obligation."
"What is hedging?","Language used to soften statements or reduce certainty."
"What is a discourse marker?","A word or phrase used to organise speech such as well or so."
"What is deixis?","Words whose meaning depends on context such as here now this or that."
"What is a declarative sentence?","A sentence used to make a statement."
"What is an interrogative sentence?","A sentence used to ask a question."
"What is an imperative sentence?","A sentence used to give a command."
"What is an exclamative sentence?","A sentence expressing strong emotion."
"What is persuasive language?","Language designed to influence the audience."
"What is figurative language?","Language that uses metaphor simile or imagery."
"What is structure in writing?","The organisation and sequencing of ideas in a text."
"What is paragraphing?","Dividing writing into sections to organise ideas."
"What is editing?","Revising writing to improve clarity and accuracy."
"What is redrafting?","Rewriting a text to improve style structure or language."
"What is linguistic creativity?","Using language in innovative or expressive ways."
"What is audience positioning?","How language choices influence the reader's viewpoint."
"What is stylistic analysis?","Examining how language choices create meaning or effect."
"What is context in writing?","The situation in which the text is produced and interpreted."
"What is persuasive technique?","A language strategy used to influence the audience."
"What is language manipulation?","Using language strategically to shape meaning."
"What is evaluating writing?","Assessing the effectiveness of language choices."
"What is reflective commentary?","Explaining and evaluating the choices made in creative writing."
"What is critical reflection?","Analysing how language choices affect meaning and audience response."
