"Front","Back"
"What are language frameworks?","Categories used to analyse language including lexis semantics grammar phonology discourse and pragmatics."
"What is lexis?","The vocabulary used in a text."
"What is semantics?","The study of meaning in language."
"What is grammar?","The system of rules governing how words combine to form sentences."
"What is syntax?","The arrangement of words and phrases to form sentences."
"What is morphology?","The study of word structure and formation."
"What is phonology?","The study of sound patterns in spoken language."
"What is graphology?","The visual features of written language such as punctuation layout and font."
"What is discourse?","Language used in communication beyond the sentence level."
"What is pragmatics?","The study of how context influences meaning."
"What is a morpheme?","The smallest unit of meaning in language."
"What is a free morpheme?","A morpheme that can stand alone as a word."
"What is a bound morpheme?","A morpheme that must attach to another word such as prefixes or suffixes."
"What is inflection?","Changing a word to show tense number or comparison."
"What is derivation?","Creating new words by adding prefixes or suffixes."
"What is a noun?","A word that names a person place thing or concept."
"What is a verb?","A word that expresses an action state or occurrence."
"What is an adjective?","A word that describes a noun."
"What is an adverb?","A word that modifies a verb adjective or another adverb."
"What is a determiner?","A word placed before a noun to clarify meaning such as the or a."
"What is a pronoun?","A word used instead of a noun."
"What is a preposition?","A word showing relationships of place time or direction."
"What is a conjunction?","A word used to connect clauses or sentences."
"What is a clause?","A group of words containing a subject and a verb."
"What is a phrase?","A group of words that function together but do not contain both subject and verb."
"What is a simple sentence?","A sentence containing one independent clause."
"What is a compound sentence?","A sentence with two main clauses joined by a conjunction."
"What is a complex sentence?","A sentence containing a main clause and at least one subordinate clause."
"What is cohesion?","The grammatical and lexical links that connect ideas in a text."
"What is coherence?","The logical flow and clarity of a text."
"What is a semantic field?","A group of words related in meaning."
"What is metaphor?","A comparison where something is described as something else."
"What is simile?","A comparison using like or as."
"What is imagery?","Language that creates vivid sensory descriptions."
"What is a discourse marker?","A word or phrase used to organise speech such as well or so."
"What is deixis?","Words whose meaning depends on context such as here now this or that."
"What is modality?","Language expressing possibility obligation or certainty."
"What is hedging?","Language used to soften statements or reduce certainty."
"What is register?","The level of formality used in language."
"What is audience?","The intended receiver of a text."
"What is purpose?","The reason a text is created."
"What is context?","The situation in which communication takes place."
"What is foregrounding?","Making certain language features stand out for emphasis."
"What is repetition?","Repeating words or structures for emphasis."
"What is parallelism?","Using similar grammatical structures for effect."
"What is ellipsis?","The omission of words that are understood from context."
"What is an interrogative sentence?","A sentence used to ask a question."
"What is an imperative sentence?","A sentence used to give a command."
"What is a declarative sentence?","A sentence used to make a statement."
"What is an exclamative sentence?","A sentence expressing strong emotion."
"What is linguistic analysis?","The detailed examination of language features to interpret meaning."
